site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P351 09JAN01 2009.0021 54832 1512 5 -114.7  -1539 -0.853109   4859868  0.450472  2692  0.610942  0.0083 0.000470 0.000631 0.001828  0.057265 -0.095253 -0.145959
P351 09JAN02 2009.0048 54833 1512 6 -114.7  -1539 -0.855241   4859868  0.451238  2692  0.609978  0.0083 0.000469 0.000634 0.001817  0.072294 -0.068707 -0.162932
P351 09JAN03 2009.0075 54834 1512 7 -114.7  -1539 -0.852241   4859868  0.451512  2692  0.608235  0.0083 0.000473 0.000636 0.001851  0.084339 -0.117723 -0.181648
P351 09JAN04 2009.0103 54835 1513 1 -114.7  -1539 -0.853100   4859868  0.452589  2692  0.598122  0.0083 0.000476 0.000638 0.001846  0.090810 -0.117047 -0.168306
P351 09JAN05 2009.0130 54836 1513 2 -114.7  -1539 -0.851262   4859868  0.452285  2692  0.607608  0.0083 0.000472 0.000636 0.001825  0.089930 -0.109297 -0.154139
P351 09JAN06 2009.0157 54837 1513 3 -114.7  -1539 -0.852203   4859868  0.454266  2692  0.611193  0.0083 0.000473 0.000632 0.001853  0.063966 -0.089543 -0.155242
P351 09JAN07 2009.0185 54838 1513 4 -114.7  -1539 -0.849366   4859868  0.453513  2692  0.624690  0.0083 0.000484 0.000641 0.001897  0.085227 -0.134702 -0.172653
P351 09JAN08 2009.0212 54839 1513 5 -114.7  -1539 -0.854057   4859868  0.449876  2692  0.616225  0.0083 0.000489 0.000652 0.001879  0.072969 -0.107871 -0.186409
P351 09JAN09 2009.0240 54840 1513 6 -114.7  -1539 -0.851508   4859868  0.455334  2692  0.601412  0.0083 0.000478 0.000638 0.001829  0.043787 -0.078981 -0.156436
P351 09JAN10 2009.0267 54841 1513 7 -114.7  -1539 -0.849261   4859868  0.452893  2692  0.603458  0.0083 0.000467 0.000634 0.001797  0.072975 -0.092046 -0.144422
P351 09JAN11 2009.0294 54842 1514 1 -114.7  -1539 -0.849377   4859868  0.453776  2692  0.605695  0.0083 0.000473 0.000632 0.001829  0.056426 -0.081455 -0.139872
P351 09JAN12 2009.0322 54843 1514 2 -114.7  -1539 -0.849330   4859868  0.454426  2692  0.602820  0.0083 0.000472 0.000636 0.001848  0.051841 -0.084533 -0.138092
P351 09JAN13 2009.0349 54844 1514 3 -114.7  -1539 -0.850099   4859868  0.452860  2692  0.608171  0.0083 0.000471 0.000635 0.001829  0.065888 -0.093052 -0.161048
P351 09JAN14 2009.0376 54845 1514 4 -114.7  -1539 -0.851393   4859868  0.454621  2692  0.604414  0.0083 0.000472 0.000636 0.001842  0.065843 -0.099518 -0.174066
P351 09JAN15 2009.0404 54846 1514 5 -114.7  -1539 -0.849617   4859868  0.452442  2692  0.601309  0.0083 0.000469 0.000630 0.001820  0.068005 -0.092484 -0.155762
P351 09JAN16 2009.0431 54847 1514 6 -114.7  -1539 -0.850369   4859868  0.452515  2692  0.603457  0.0083 0.000472 0.000634 0.001829  0.059456 -0.070346 -0.149872
P351 09JAN17 2009.0459 54848 1514 7 -114.7  -1539 -0.853213   4859868  0.450847  2692  0.604941  0.0083 0.000474 0.000644 0.001863  0.062928 -0.084217 -0.160138
P351 09JAN18 2009.0486 54849 1515 1 -114.7  -1539 -0.851697   4859868  0.452186  2692  0.606548  0.0083 0.000470 0.000634 0.001833  0.059786 -0.082801 -0.149810
